Sales,Ad_Spend,Email_Campaigns,Website_Traffic,Avg_Rating,Discount_Pct,Competitor_Price_Index,Inventory_Level,Social_Media_Engagement,Season,Product_Type,Category_ID,Month
431.59,9.84,14,257.97,3.85,9.38,85.62,697,27.26,Winter,Home,1,1
502.24,9.55,7,255.41,3.4,10.01,105.69,625,67.88,Winter,Home,1,2
408.97,18.55,8,236.68,2.63,2.39,106.04,874,40.99,Spring,Home,1,3
300.93,56.57,7,56.35,4.1,13.89,103.77,872,38.75,Spring,Home,1,4
294.82,14,13,122.79,3.99,4.21,112.59,1203,58.97,Spring,Home,1,5
360.82,27.15,5,152.42,4.76,22.17,114.66,545,41.46,Summer,Home,1,6
347.69,10.3,9,261.69,4.16,4.7,94,1729,16.9,Summer,Home,1,7
276.15,6.79,9,167.7,3.71,22.55,83.5,677,48.91,Summer,Home,1,8
393.03,60.54,9,130.73,3.91,6.56,115.98,616,48.47,Fall,Home,1,9
208.8,14.11,4,99.58,4.41,8.82,90.63,1233,65.41,Fall,Home,1,10
304.98,44.45,8,66.81,4.11,25.32,106.99,581,47.83,Fall,Home,1,11
316.11,33,8,89.31,4.17,16.99,98.35,478,33.58,Winter,Home,1,12
349.68,59.07,8,54.54,4.55,22.87,99.61,665,44.19,Winter,Home,1,13
627.21,18.23,6,423.26,4.86,9.9,102.29,1731,61.16,Spring,Home,1,14
209.53,22.19,10,88.44,4.74,19.59,96.37,922,51.08,Spring,Home,1,15
510.89,38.11,10,238.41,3.76,17.6,86.4,262,49.22,Spring,Home,1,16
376.17,42.16,10,161.53,3.14,10.89,112.56,1063,22.86,Summer,Home,1,17
437.95,32.15,8,209.08,4.46,3.81,112.12,1060,46.7,Summer,Home,1,18
276.45,25.21,4,145.32,4.81,10.14,96.22,2025,17,Winter,Home,2,1
376.02,76.38,6,99.86,4.64,12.98,97.28,1763,74.77,Winter,Home,2,2
359.81,30.61,6,172.6,4.49,9.64,80.93,459,44.67,Spring,Home,2,3
337.66,12.06,4,222.34,3.79,8.63,83.54,969,26.52,Spring,Home,2,4
633.12,29.18,8,411.76,3.88,9.02,92.86,470,26.69,Spring,Home,2,5
551.89,85.76,5,208.4,4.44,11.52,92.33,941,26.09,Summer,Home,2,6
215.29,21.77,9,96.9,4.9,21.42,81.26,442,30.43,Summer,Home,2,7
288.33,21.68,10,118.98,4.68,9.12,127.64,1175,31.75,Summer,Home,2,8
588.3,43.73,9,292.92,4.2,11.43,111.69,579,66.15,Fall,Home,2,9
407.56,13.27,7,217.32,4.19,10.77,105.8,529,18.93,Fall,Home,2,10
639.8,31.38,7,403.94,3.78,11.04,107.45,1034,58.34,Fall,Home,2,11
274.46,17.1,11,119.75,4.69,1.33,122.41,1507,57.42,Winter,Home,2,12
248.51,17.48,6,124.15,3.91,7.03,93.29,760,71.62,Winter,Home,2,13
385.86,16.82,15,242.19,3.87,7.08,95.5,1538,41.28,Spring,Home,2,14
408.23,29.57,5,207.01,3.69,10.49,102.23,1446,42.32,Spring,Home,2,15
396.81,20.21,7,177.64,3.69,20.2,122.54,832,42.95,Spring,Home,2,16
325.8,40.58,10,155.66,3.97,6.35,103.95,489,42.24,Summer,Home,2,17
580.45,114.1,12,181.89,4.74,2.55,106.54,1129,46.14,Summer,Home,2,18
327.57,31.28,5,55.96,4.65,16.01,100.9,850,27.25,Winter,Electronics,3,1
430.95,24.97,7,170.13,4.6,10.95,102.78,1226,69.22,Winter,Electronics,3,2
463.03,63.5,11,110.6,4.77,2.84,77.18,365,19.72,Spring,Electronics,3,3
240,29.34,8,44.83,4.08,4,130.96,887,43.65,Spring,Electronics,3,4
590.31,38.17,8,303.51,2.86,7.04,102.51,575,81.5,Spring,Electronics,3,5
453.8,50.61,7,154.53,4.01,10.05,109.01,865,52.16,Summer,Electronics,3,6
253.77,28.01,8,117.12,3.1,11.1,107.31,1091,25.55,Summer,Electronics,3,7
488.78,27.62,8,271.83,4.46,3.32,112.73,688,34.93,Summer,Electronics,3,8
241.66,19.16,9,72.33,4.37,8.12,88.37,834,45.27,Fall,Electronics,3,9
407.14,49.74,9,154.4,4.73,14.93,93.95,1057,67.87,Fall,Electronics,3,10
371.85,52.05,10,73.15,4.7,10.62,72.79,891,55.39,Fall,Electronics,3,11
444.03,20.16,10,176.81,4.67,14.26,115.51,726,70.21,Winter,Electronics,3,12
418.96,63.04,12,107.75,3.54,16.25,88.98,660,27.74,Winter,Electronics,3,13
461.35,44.63,8,179.24,4.55,16.69,98.03,840,66.16,Spring,Electronics,3,14
239.92,24.62,8,78.99,3.83,17.41,113.76,2399,65.24,Spring,Electronics,3,15
326.79,9.62,12,155.25,3.26,10.49,72.84,558,18.68,Spring,Electronics,3,16
402.67,24.59,7,184.21,4.44,10.73,124.55,674,34.45,Summer,Electronics,3,17
269.68,16.62,7,105.29,4.27,9.63,96.7,934,56.21,Summer,Electronics,3,18
480.55,32.15,7,208.5,4.63,4.47,107.65,509,31.88,Winter,Electronics,4,1
302.8,14.96,8,116.8,4.58,26.88,94.6,1222,61.16,Winter,Electronics,4,2
676.03,40.75,6,345.16,4.58,11.96,103.44,603,77,Spring,Electronics,4,3
507.89,13.32,5,304.64,4.1,9.34,106.06,439,51.08,Spring,Electronics,4,4
328.17,28.97,12,153.8,4.45,16.89,102.68,1409,16.5,Spring,Electronics,4,5
428.54,17.46,3,163.17,4.58,3.27,116.93,516,68.9,Summer,Electronics,4,6
397.82,20.83,5,150,4.84,3.77,114.54,697,44.55,Summer,Electronics,4,7
399.54,27.92,6,222.04,4.2,2.75,103.34,1538,26.52,Summer,Electronics,4,8
452.1,63.77,4,141.25,4.11,25.2,118.98,1141,62,Fall,Electronics,4,9
438.65,41.53,6,193.02,4.47,19.27,85.71,1874,79.12,Fall,Electronics,4,10
